fill	x	y	key	group	clickSelects	showSelected1	PANEL
#A58AFF	1994.35235106056	1995.61559365858	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.34602914687	1995.58767997184	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.33645169984	1995.56962217474	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.32976619205	1995.5403069254	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.33185107848	1995.48468702006	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.33498576407	1995.39022216177	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.32226102125	1995.36039112356	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.30796315596	1995.33029383456	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.29285718701	1995.30881338932	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.27846579607	1995.29879613556	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.26653444501	1995.30248388189	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.25707784573	1995.3211029956	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.25150939151	1995.33671209225	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.24109862042	1995.34978373819	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.23049974718	1995.34711316208	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.21983256869	1995.33513302912	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.20283086631	1995.33911584126	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.18825032236	1995.35111153433	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.18095952497	1995.34978373819	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.17670883666	1995.33778919772	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.1611467988	1995.3120153144	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.12294629909	1995.27280037659	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.10736954933	1995.26995345255	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.10068404154	1995.26020129699	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.10334794633	1995.24413519411	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.11016691207	1995.23103358055	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.12207199188	1995.22175399132	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.12267728149	1995.2110878233	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.11215827285	1995.20173389132	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.10318716628	1995.1910677233	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.08341332156	1995.17805486	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.06061407966	1995.17297995858	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.03700883579	1995.18056349569	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.02486206048	1995.19788305197	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.01061778854	1995.19950591393	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.99752945162	1995.18683306787	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.98403863914	1995.16594275425	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.96928365409	1995.1210771909	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.96536923779	1995.11319916427	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.96137390603	1995.10613314492	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.95181012006	1995.09645417951	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.93801035767	1995.08063876731	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.93108210353	1995.04757698899	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.92282347327	1994.98869695223	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.92476018985	1994.95699178508	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.9253791405	1994.90205018532	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.92212465801	1994.86347033056	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.91615267738	1994.83813904597	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.91734959555	1994.8181633211	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.92646887197	1994.79551702012	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.92282347327	1994.78085190354	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.91515752242	1994.76444635972	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.90769228392	1994.75534311842	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.87801943207	1994.73821547018	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.83733051953	1994.71477272203	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.81044136937	1994.69973819689	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.77042500083	1994.67740136924	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.75872273508	1994.67191441302	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.73440396405	1994.66989275117	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.72178640794	1994.67332980683	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.70473111221	1994.67422941177	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.67960528837	1994.6734329646	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.66206555079	1994.66733974035	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.64448483005	1994.65603906557	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.63154466298	1994.64196465692	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.62408047533	1994.62803720487	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.6214302316	1994.62129506635	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.60383637524	1994.63281819309	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.54827110447	1994.65333967445	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.39799692534	1994.62625240249	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.38379311112	1994.63140107037	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.33249113886	1994.66313505254	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.26644731718	1994.70400224364	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.22553037018	1994.72930413692	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17304514081	1994.7623215401	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20895899089	1994.84381906282	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.24029954171	1994.91491551572	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.27168002482	1994.98611397378	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.30263018486	1995.05638516448	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.30630290566	1995.08096380074	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.30677368647	1995.12908891922	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.29862276833	1995.19336889084	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.28554756704	1995.22271295521	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.24234397041	1995.23455938647	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.2098732304	1995.24347071974	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17452473763	1995.25317850017	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16992464169	1995.25677864884	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16591564889	1995.30676291245	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16766478874	1995.32908418	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16535134243	1995.37220816351	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16568708901	1995.40541862733	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17082574558	1995.46006400867	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17110789881	1995.48467203625	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.15473828271	1995.59060181493	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.14565893859	1995.64933374248	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.13629744124	1995.70991098396	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.13427980922	1995.72922281076	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.13409118164	1995.75310815762	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.15578755645	1995.8092156131	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16251299654	1995.8213870778	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17523773936	1995.84931459575	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.18318636887	1995.86411168512	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.18180134855	1995.8743064394	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16796007759	1995.88026653826	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.14704395891	1995.88078405603	2	2	Afghanistan	Asie du Sud	2
