ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
1984.5	1985.5	1985 1961	année	1985	année	1961	1	1278
1985.5	1986.5	1986 1961	année	1986	année	1961	1	1329
1986.5	1987.5	1987 1961	année	1987	année	1961	1	1380
1987.5	1988.5	1988 1961	année	1988	année	1961	1	1431
1988.5	1989.5	1989 1961	année	1989	année	1961	1	1482
1989.5	1990.5	1990 1961	année	1990	année	1961	1	1533
1990.5	1991.5	1991 1961	année	1991	année	1961	1	1584
1991.5	1992.5	1992 1961	année	1992	année	1961	1	1635
1992.5	1993.5	1993 1961	année	1993	année	1961	1	1686
1993.5	1994.5	1994 1961	année	1994	année	1961	1	1737
1994.5	1995.5	1995 1961	année	1995	année	1961	1	1788
1995.5	1996.5	1996 1961	année	1996	année	1961	1	1839
1996.5	1997.5	1997 1961	année	1997	année	1961	1	1890
1997.5	1998.5	1998 1961	année	1998	année	1961	1	1941
1998.5	1999.5	1999 1961	année	1999	année	1961	1	1992
1999.5	2000.5	2000 1961	année	2000	année	1961	1	2043
2000.5	2001.5	2001 1961	année	2001	année	1961	1	2094
2001.5	2002.5	2002 1961	année	2002	année	1961	1	2145
2002.5	2003.5	2003 1961	année	2003	année	1961	1	2196
2003.5	2004.5	2004 1961	année	2004	année	1961	1	2247
2004.5	2005.5	2005 1961	année	2005	année	1961	1	2298
2005.5	2006.5	2006 1961	année	2006	année	1961	1	2349
2006.5	2007.5	2007 1961	année	2007	année	1961	1	2400
2007.5	2008.5	2008 1961	année	2008	année	1961	1	2451
2008.5	2009.5	2009 1961	année	2009	année	1961	1	2502
2009.5	2010.5	2010 1961	année	2010	année	1961	1	2553
2010.5	2011.5	2011 1961	année	2011	année	1961	1	2604
1959.5	1960.5	1960 1962	année	1960	année	1962	1	3
1960.5	1961.5	1961 1962	année	1961	année	1962	1	54
1961.5	1962.5	1	année	1962	année	1962	1	1
1962.5	1963.5	1963 1962	année	1963	année	1962	1	157
1963.5	1964.5	1964 1962	année	1964	année	1962	1	208
1964.5	1965.5	1965 1962	année	1965	année	1962	1	259
1965.5	1966.5	1966 1962	année	1966	année	1962	1	310
1966.5	1967.5	1967 1962	année	1967	année	1962	1	361
1967.5	1968.5	1968 1962	année	1968	année	1962	1	412
1968.5	1969.5	1969 1962	année	1969	année	1962	1	463
1969.5	1970.5	1970 1962	année	1970	année	1962	1	514
